74D 38F21200	宜蘭縣縣立宜蘭國中	[260]宜蘭縣宜蘭市樹人路37號
74DA38F20EE2	宜蘭縣縣立中華國中	[260]宜蘭縣宜蘭市女中路一段100號
74DA38F20DAC	宜蘭縣縣立復興國中	[260]宜蘭縣宜蘭市復興路二段77號
74DA38F21202	宜蘭縣縣立羅東國中	[265]宜蘭縣羅東鎮中華路99號
74DA38F20BFA	宜蘭縣縣立東光國中	[265]宜蘭縣羅東鎮興東南路201號
74DA38F20E4C	宜蘭縣縣立國華國中	[265]宜蘭縣羅東鎮國華街101號
74DA38F2081 	宜蘭縣縣立頭城國中	[261]宜蘭縣頭城鎮復興路145號
74DA38F211E0	宜蘭縣縣立蘇澳國中	[270]宜蘭縣蘇澳鎮中山路二段1號
74DA38F20816	宜蘭縣縣立文化國中	[270]宜蘭縣蘇澳鎮永榮里新馬路2號
74DA38F2087C	宜蘭縣縣立南安國中	[270]宜蘭縣蘇澳鎮學府路117號
74DA38F2082A	宜蘭縣縣立三星國中	[266]宜蘭縣三星鄉月眉村月眉街54號
74DA38F20820	宜蘭縣縣立礁溪國中	[262]宜蘭縣礁溪鄉礁溪路四段23號
74DA38F2081E	宜蘭縣縣立吳沙國中	[262]宜蘭縣礁溪鄉育英路79號
74DA38F20814	宜蘭縣縣立冬山國中	[269]宜蘭縣冬山鄉南興村照安路26號
74DA38F20812	宜蘭縣縣立順安國中	[269]宜蘭縣冬山鄉順安村永興路一段359號
74DA38F2096C	宜蘭縣縣立五結國中	[268]宜蘭縣五結鄉大吉村大吉五路58號
74DA38F21196	宜蘭縣縣立興中國中	[268]宜蘭縣五結鄉上四村中正東路50號
74DA38F21108	宜蘭縣縣立利澤國中	[268]宜蘭縣五結鄉成興村利寶路99號
74DA38F21132	宜蘭縣縣立員山國中	[264]宜蘭縣員山鄉溫泉路92號
74DA38F21122	宜蘭縣縣立壯圍國中	[263]宜蘭縣壯圍鄉富祥路588號
74DA38F21190	宜蘭縣縣立大同國中	[267]宜蘭縣大同鄉太平村一鄰泰雅路四段35號
74DA38F21124	宜蘭縣縣立凱旋國中	[260]宜蘭縣宜蘭市建業里10鄰縣政七街50巷1號
74DA38F21126	宜蘭縣縣立南澳高中附設國中	[272]宜蘭縣南澳鄉蘇花路二段301號
74DA38ED0634	花蓮縣立體育高中	[970]花蓮縣花蓮市永安街100號
74DA38ED0618	花蓮縣立明禮國小	[970]花蓮縣花蓮市明禮路6號
74DA38ED0638	花蓮縣立明義國小	[970]花蓮縣花蓮市明義街107號
74DA38ED0630	花蓮縣立明廉國小	[970]花蓮縣花蓮市中山路903號
74DA38ED062E	花蓮縣立明恥國小	[970]花蓮縣花蓮市中興路41號
74DA38ED0636	花蓮縣立中正國小	[970]花蓮縣花蓮市中正路210號
74DA38ED062C	花蓮縣立信義國小	[970]花蓮縣花蓮市主計里信義街1號
74DA38ED062A	花蓮縣立復興國小	[970]花蓮縣花蓮市府前路682號
74DA38ED0628	花蓮縣立中華國小	[970]花蓮縣花蓮市國盛二街22號
74DA38ED061A	花蓮縣立忠孝國小	[970]花蓮縣花蓮市中華路298號
74DA38ED0620	花蓮縣立北濱國小	[970]花蓮縣花蓮市北濱街113號
74DA38ED0616	花蓮縣立鑄強國小	[970]花蓮縣花蓮市永興路20號
74DA38ED0614	花蓮縣立國福國小	[970]花蓮縣花蓮市福光街277巷1號
74DA38ED0612	花蓮縣立新城國小	[971]花蓮縣新城鄉新城村博愛路30號
74DA38ED0610	花蓮縣立北埔國小	[971]花蓮縣新城鄉北埔路170號
74DA38ED060E	花蓮縣立康樂國小	[971]花蓮縣新城鄉康樂村康樂一街38號
74DA38ED060C	花蓮縣立嘉里國小	[971]花蓮縣新城鄉嘉里村嘉里三街28號
74DA38ED060A	花蓮縣立吉安國小	[973]花蓮縣吉安鄉吉安路二段97號
74DA38ED0606	花蓮縣立宜昌國小	[973]花蓮縣吉安鄉宜昌一街45號
74DA38ED0632	花蓮縣立北昌國小	[973]花蓮縣吉安鄉北昌村自強路533號
74DA38ED04C0	花蓮縣立稻香國小	[973]花蓮縣吉安鄉稻香村稻香路99號
74DA38ED04BE	花蓮縣立光華國小	[973]花蓮縣吉安鄉光華村光華二街180號
74DA38ED04BC	花蓮縣立南華國小	[973]花蓮縣吉安鄉干城村吉安路6段60號
74DA38ED04A2	花蓮縣立化仁國小	[973]花蓮縣吉安鄉東里十一街83號
74DA38ED04A6	花蓮縣立太昌國小	[973]花蓮縣吉安鄉太昌村明義五街1號
74DA38ED04B6	花蓮縣立壽豐國小	[974]花蓮縣壽豐鄉壽豐村壽山路37號
74DA38ED04A8	花蓮縣立豐山國小	[974]花蓮縣壽豐鄉豐山村中山路41號
74DA38ED04B8	花蓮縣立豐裡國小	[974]花蓮縣壽豐鄉豐裡村中山路299號
74DA38ED04AA	花蓮縣立志學國小	[974]花蓮縣壽豐鄉志學村中正路120巷10號
74DA38ED04AC	花蓮縣立平和國小	[974]花蓮縣壽豐鄉平和路34號
74DA38ED074E	花蓮縣立溪口國小	[974]花蓮縣壽豐鄉溪口村溪口路87號
74DA38ED0798	花蓮縣立月眉國小	[974]花蓮縣壽豐鄉月眉村月眉三段24號
74DA38ED0750	花蓮縣立水璉國小	[974]花蓮縣壽豐鄉水璉村水璉二街20號
74DA38ED076C	花蓮縣立鳳林國小	[975]花蓮縣鳳林鎮中正路二段1號
74DA38ED079C	花蓮縣立大榮國小	[975]花蓮縣鳳林鎮大榮里復興路85號
74DA38ED0756	花蓮縣立鳳仁國小	[975]花蓮縣鳳林鎮鳳仁里光復路94號
74DA38ED04B2	花蓮縣立北林國小	[975]花蓮縣鳳林鎮北林里平園路32號
74DA38ED04B4	花蓮縣立長橋國小	[975]花蓮縣鳳林鎮長橋里長橋路2號
74DA38ED0488	花蓮縣立林榮國小	[975]花蓮縣鳳林鎮林榮里永安街2號
74DA38ED04C2	花蓮縣立光復國小	[976]花蓮縣光復鄉大馬村中山路三段75號
74DA38ED047E	花蓮縣立太巴塱國小	[976]花蓮縣光復鄉中正路二段23號
